"id","name","pitches","rv_tot","pct_tot","rv_11","pct_11","rv_12","pct_12","rv_13","pct_13","rv_14","pct_14","rv_16","pct_16","rv_17","pct_17","rv_18","pct_18","rv_19","pct_19"
672275,"Bailey, Patrick",4378,2.7267491554625796,0.47180109157064887,1,0.22758620689655173,1,0.6305418719211823,1,0.1827956989247312,2,0.5800711743772242,-2,0.5245398773006135,1,0.34615384615384615,-1,0.5658682634730539,0,0.23357664233576642
641680,"Heim, Jonah",2362,0.4570212866844894,0.4794841735052755,-1,0.136986301369863,0,0.5842696629213483,0,0.40476190476190477,0,0.5333333333333333,1,0.6428571428571429,0,0.3670886075949367,-1,0.5487804878048781,0,0.2571428571428571
543309,"Higashioka, Kyle",2968,-1.0395722504088862,0.4614003590664273,0,0.16842105263157894,-2,0.5260115606936416,-1,0.11764705882352941,1,0.5727699530516432,-1,0.5604395604395604,0,0.42857142857142855,1,0.5817307692307693,0,0.25210084033613445
700337,"Quero, Edgar",3250,-4.1105152708608275,0.46197874080130824,0,0.15853658536585366,1,0.6608187134502924,1,0.2987012987012987,-2,0.39705882352941174,-1,0.5714285714285714,-1,0.1978021978021978,-1,0.5891472868217055,0,0.28431372549019607
696100,"Goodman, Hunter",4603,-1.7559664545749571,0.45944309927360777,1,0.20945945945945946,2,0.6556016597510373,0,0.25301204819277107,-2,0.4823943661971831,2,0.6308724832214765,-2,0.24107142857142858,-3,0.4806451612903226,0,0.2727272727272727
608348,"Kelly, Carson",4065,-0.3233689892417185,0.46419098143236076,0,0.23333333333333334,0,0.5410628019323671,-1,0.21794871794871795,0,0.5030674846625767,0,0.5669291338582677,0,0.27350427350427353,1,0.6028880866425993,0,0.27906976744186046
666310,"Naylor, Bo",1833,-0.23966501147948438,0.4499252615844544,0,0.23333333333333334,1,0.7,0,0.13953488372093023,0,0.5227272727272727,-1,0.5308641975308642,0,0.13793103448275862,0,0.47761194029850745,0,0.20754716981132076
660710,"Durán, Rodolfo",2011,-1.200002996659754,0.44750656167979,0,0.16071428571428573,-1,0.5148514851485149,0,0.25,-1,0.5144927536231884,0,0.5527950310559007,1,0.3333333333333333,1,0.5616438356164384,-1,0.15714285714285714
643376,"Jansen, Danny",2718,-3.982736889486002,0.4423459244532803,-1,0.18478260869565216,-2,0.5328467153284672,0,0.18867924528301888,1,0.5842696629213483,-2,0.535031847133758,0,0.2840909090909091,-1,0.5258215962441315,0,0.22727272727272727
686948,"Baldwin, Drake",3293,1.1399509192170938,0.4683127572016461,1,0.25510204081632654,1,0.6259541984732825,0,0.2222222222222222,1,0.5578512396694215,-2,0.5145631067961165,1,0.375,0,0.5595238095238095,0,0.2066115702479339
689414,"Hicks, Liam",2302,-1.648117890449978,0.4724602203182375,0,0.1935483870967742,0,0.6,0,0.23809523809523808,-1,0.5128205128205128,0,0.6451612903225806,0,0.2641509433962264,0,0.5508982035928144,0,0.2413793103448276
596142,"Sánchez, Gary",1643,0.12641967674371293,0.4839797639123103,0,0.29411764705882354,1,0.6986301369863014,0,0.22727272727272727,0,0.5163934426229508,0,0.5982142857142857,0,0.21428571428571427,1,0.5806451612903226,-1,0.11904761904761904
682848,"Rodríguez, Endy",1956,0.017790337114579786,0.42302158273381296,0,0.14084507042253522,-1,0.5050505050505051,0,0.23529411764705882,0,0.4435483870967742,0,0.5669291338582677,1,0.4186046511627907,0,0.4666666666666667,0,0.27848101265822783
665561,"Marchán, Rafael",1955,3.677064086730493,0.49925705794947994,0,0.2,0,0.5949367088607594,0,0.2222222222222222,0,0.5960264900662252,0,0.6391752577319587,0,0.2777777777777778,2,0.589041095890411,1,0.2857142857142857
665804,"Amaya, Miguel",2800,0.266024563330692,0.48059701492537316,1,0.25301204819277107,0,0.674074074074074,0,0.3191489361702128,1,0.5106382978723404,0,0.6374269005847953,0,0.25396825396825395,-2,0.5111111111111111,0,0.2087912087912088
663886,"Stephenson, Tyler",5638,-10.008074564577079,0.43516270033997084,0,0.17647058823529413,-1,0.5321888412017167,0,0.24074074074074073,-2,0.4896373056994819,-2,0.5972602739726027,-1,0.2792207792207792,-1,0.5300668151447662,-1,0.14432989690721648
686780,"Pagés, Pedro",3511,2.241554991968802,0.48367029548989116,0,0.1702127659574468,0,0.558974358974359,0,0.16176470588235295,-1,0.4925373134328358,2,0.6765799256505576,1,0.32954545454545453,2,0.5877551020408164,0,0.25396825396825395
